billing_id,user_id,created_date,credit_card_provider,credit_card_security_code,credit_card_number,credit_card_expiry_date
0,4813,2022-07-20,VISA 16 digit,166,4773281755817,06/27
1,8048,2021-06-10,VISA 16 digit,411,4226417231336,06/32
2,3231,2020-12-08,American Express,012,4818983152217130,09/31
3,759,2020-09-15,JCB 15 digit,933,3596234825555492,10/25
4,8016,2022-05-30,VISA 16 digit,869,4294384346778728,12/29
5,9806,2020-04-27,Maestro,793,630423812357,04/24
6,7359,2022-01-06,JCB 16 digit,7743,4482624702584315,06/31
7,7857,2022-01-19,Discover,754,2238224780577744,05/31
8,4445,2021-03-02,JCB 16 digit,183,676321624592,03/32
9,1175,2020-07-18,Mastercard,426,582766943887,11/25
10,3899,2023-02-01,Maestro,380,30141749665275,12/23
11,8953,2020-09-02,JCB 15 digit,073,4218750701306334,10/30
12,5363,2020-07-01,VISA 16 digit,301,630419112051,07/24
13,802,2021-09-24,Mastercard,292,30022783460577,05/33
14,3151,2021-06-28,American Express,590,2259627195192509,08/27
15,2998,2020-08-17,VISA 13 digit,947,6011647158171571,01/28
16,9626,2020-09-23,JCB 16 digit,880,3535825252088412,10/24
17,182,2022-01-26,JCB 16 digit,858,4336110001535357452,03/30
18,1086,2021-11-19,JCB 16 digit,300,4436551103377212,01/26
19,3654,2021-06-19,VISA 16 digit,025,2240574293038279,12/28
20,7308,2020-08-21,VISA 19 digit,433,4413055187488975,05/25
21,1218,2022-01-10,VISA 16 digit,469,38954759040466,04/31
22,9152,2021-04-07,American Express,060,2302827595023570,05/32
23,7158,2020-12-08,American Express,3228,676291718507,05/28
24,5524,2021-01-06,Diners Club / Carte Blanche,156,6011221225648522,12/27
25,2678,2022-08-22,American Express,276,345629708161377,05/24
26,6173,2022-05-04,Mastercard,985,6577373064098966,10/28
27,967,2023-04-27,VISA 19 digit,446,2339524225434551,01/33
28,4234,2021-01-18,Diners Club / Carte Blanche,5419,375709425511394,01/32
29,7448,2023-06-10,JCB 16 digit,360,371754774084977,03/25
30,7629,2023-06-13,Maestro,082,4139672441563634,12/26
31,7650,2020-04-10,Maestro,263,4476353254257421,11/29
32,8530,2020-06-21,JCB 16 digit,457,340893692089169,01/25
33,392,2021-10-12,JCB 16 digit,745,346716635555224,12/31
34,3880,2022-10-27,Mastercard,895,4233499497661194,12/27
35,6635,2023-02-25,VISA 16 digit,8540,377392042297263,08/25
36,2122,2023-05-15,VISA 13 digit,756,6011669183165709,03/29
37,7928,2022-05-07,American Express,904,180095105696597,04/32
38,9295,2022-08-12,VISA 19 digit,852,4577952370529072,03/27
39,1734,2021-10-24,JCB 16 digit,2266,3561440477740768,08/25
40,6410,2020-03-11,Discover,959,4819642243597913531,10/25
41,9716,2022-07-31,Mastercard,837,2281456600251037,12/23
42,3760,2020-12-21,Maestro,828,4094361477262344,08/27
43,4192,2021-12-16,JCB 15 digit,728,6011728920557097,03/28
44,8644,2022-01-24,VISA 13 digit,416,4593874871432608,07/27
45,9175,2021-05-08,JCB 16 digit,183,4825175037874,05/25
46,2838,2023-04-21,JCB 15 digit,234,3548378422229644,06/31
47,2059,2022-04-05,JCB 15 digit,363,3586615167737197,01/33
48,9378,2020-01-04,Discover,704,2587918725477533,11/24
49,8029,2022-08-10,JCB 16 digit,970,30526093611448,11/28
50,6657,2022-07-15,Discover,947,4855166903922125,02/32
51,831,2022-04-11,VISA 16 digit,668,374398529527513,10/24
52,6053,2021-02-06,Discover,834,4623393836689800,07/29
53,9751,2021-03-30,Diners Club / Carte Blanche,587,3547450274714808,08/32
54,7088,2020-11-23,Mastercard,775,2298704646547434,05/30
55,2351,2023-02-12,Discover,842,349539043382982,02/29
56,5154,2022-08-29,JCB 16 digit,942,340238753072755,03/31
57,2314,2023-03-08,Maestro,550,4380180071893632,03/29
58,2894,2022-06-11,Diners Club / Carte Blanche,684,30537478199073,03/33
59,9059,2021-08-22,JCB 15 digit,643,30039096538493,05/26
60,3998,2022-12-06,VISA 16 digit,2543,4067553172979759,07/30
61,3603,2020-03-13,Discover,634,2285762892247625,05/26
62,7899,2023-02-15,JCB 16 digit,263,4232595656812176316,09/28
63,5011,2022-09-07,JCB 15 digit,140,4378004252444345929,08/30
64,9127,2021-05-23,Discover,5579,6566387423673775,06/29
65,5108,2021-02-05,JCB 15 digit,418,213124076933077,08/25
66,1962,2023-03-18,JCB 15 digit,568,213119273835422,10/24
67,9728,2020-11-17,VISA 19 digit,520,30436495199374,11/28
68,2774,2022-08-29,VISA 16 digit,809,6011288305349826,12/29
69,7971,2022-10-31,VISA 16 digit,555,4128014874676554,10/30
70,4960,2023-01-13,VISA 19 digit,541,4160292649785405258,11/24
71,7623,2020-07-27,JCB 16 digit,243,4239062244220701832,04/27
72,2642,2022-10-23,Diners Club / Carte Blanche,879,180034811136408,10/24
73,806,2021-11-20,VISA 16 digit,893,3542054266172952,04/24
74,8098,2021-12-22,Discover,601,3596055744017474,02/30
75,7379,2023-04-03,Discover,451,3517100392215826,04/32
76,1335,2022-04-05,VISA 19 digit,455,6510678833593935,07/23
77,5497,2021-01-13,VISA 16 digit,392,6011859695300304,05/33
78,7758,2022-04-12,Discover,1814,30118661364590,01/32
79,1895,2022-04-23,JCB 16 digit,249,4440959401993164,02/31
80,411,2020-07-30,VISA 19 digit,6600,4595726322485,01/27
81,7683,2021-06-23,JCB 16 digit,058,4256085813356668,05/24
82,6716,2021-05-29,Diners Club / Carte Blanche,965,6011974102733805,01/24
83,3802,2021-11-05,JCB 16 digit,711,4919066228173498069,03/29
84,9037,2020-12-12,VISA 16 digit,368,6571385096791422,08/28
85,8354,2021-04-25,VISA 19 digit,419,4027458676660377,01/31
86,5577,2020-09-27,JCB 16 digit,341,3527249632376134,04/29
87,796,2022-01-29,Diners Club / Carte Blanche,156,4729509183299371,08/25
88,2729,2021-05-18,VISA 16 digit,564,3525455861560130,06/24
89,9164,2022-04-09,American Express,072,6011426720866400,10/23
90,5440,2021-03-13,Diners Club / Carte Blanche,785,6590070329336420,04/25
91,2886,2022-04-27,American Express,566,4955336442203258,01/31
92,9444,2020-04-06,JCB 15 digit,892,2238157619809211,12/23
93,2262,2022-01-10,Mastercard,439,213199740284453,12/31
94,2410,2020-07-29,VISA 16 digit,7489,4820522276635002647,07/29
95,7967,2023-06-10,VISA 13 digit,390,3574364743128720,03/26
96,1938,2020-03-28,VISA 16 digit,5411,3539204727260715,01/25
97,3834,2020-07-09,Discover,895,3501104023032939,11/29
98,9779,2022-02-23,Mastercard,526,30157066169469,04/29
99,9976,2021-04-22,VISA 19 digit,297,676384819311,03/31
100,7859,2023-03-26,JCB 15 digit,032,6011544834602295,03/31
101,9362,2022-02-04,JCB 16 digit,268,6537915424518999,06/25
102,1978,2020-07-03,Maestro,688,213177800771908,08/32
103,1720,2022-10-29,Discover,727,30225496937464,12/30
104,8286,2021-03-01,Diners Club / Carte Blanche,985,3566396709998357,09/28
105,2253,2021-02-15,Diners Club / Carte Blanche,527,3512650803564159,09/26
106,1259,2023-04-21,Mastercard,728,630415619992,09/30
107,5483,2020-09-27,Diners Club / Carte Blanche,757,4794411841680466,06/30
108,5653,2021-10-12,VISA 13 digit,802,30037933066504,03/25
109,3334,2022-01-06,VISA 16 digit,068,30431668845606,10/23
110,4687,2022-08-21,VISA 19 digit,499,4030175722450414,02/28
111,8397,2020-01-18,VISA 13 digit,645,583201833717,11/28
112,6112,2020-12-21,Discover,801,4419378526717,12/30
113,1127,2020-05-10,Maestro,460,2223019416706502,05/31
114,7526,2020-03-03,Diners Club / Carte Blanche,844,378800630062815,09/31
115,5732,2021-05-07,Maestro,987,4327928839730,05/30
116,8573,2023-01-07,Discover,685,5566981556205231,07/27
117,1975,2020-08-06,VISA 16 digit,880,30339477245027,03/25
118,4812,2020-02-24,VISA 19 digit,944,6519200880469686,05/28
