customer_id,created_date,gender,prefix,first_name,last_name,email,company_email,building_number,street_name,street_suffix,city,postcode,country,phone_number
0,2023-02-24,Male,Mr.,Joseph,Diaz,anthonylee@yahoo.com,kathleenfernandez@bryan-horn.net.au,911,Gloria Mew,Front,St. Shawnmouth,2936,Australia,5770.3329
1,2022-02-13,Male,Mr.,Jeremy,Nelson,kaylarobinson@hotmail.com,restes@miller.edu,1,Gonzalez End,Rest,Jessicahaven,7163,Australia,+61-8-6955-4280
2,2022-09-17,Female,Dr.,Barbara,Harris,millerscott@hotmail.com,hbaker@ellis.com.au,693,Brian Approach,Reach,North Leslie,0924,Australia,(08)-8939-0820
3,2022-10-27,Male,Mr.,James,Bailey,desireesmith@yahoo.com.au,qclay@landry.net.au,9,Scott Frontage,Gate,Erichaven,2984,Australia,(08).0857.3403
4,2023-01-20,Female,Dr.,Sabrina,Byrd,phillipschad@walters-martin.edu,trobertson@chaney-owens.org.au,348,Lambert Dale,Slope,Taylortown,2709,Australia,0881219458
5,2021-01-25,Male,Mr.,David,Knapp,ccopeland@edwards.biz,tmendoza@turner.net.au,1,Watkins Cul-de-sac,Path,Dunnhaven,2663,Australia,07 7444 2080
6,2021-08-06,Female,Dr.,Sara,Collins,carlastout@hotmail.com,davisbrian@evans-figueroa.net,963,Rodriguez Gates,Block,Port Traci,2662,Australia,+61.473.269.676
7,2020-06-28,Male,Mr.,Christopher,Davis,shannon63@watson-mcintosh.org,kstewart@green-robertson.org.au,751,Mckenzie Part,Block,Robertsonhaven,2676,Australia,6732 0831
8,2022-12-16,Female,Mrs.,Gail,Campbell,carloschambers@yahoo.com,adrian21@lopez-barajas.com,99,Salinas Crossway,Break,Hansonland,2694,Australia,+61-3-7450-1160
9,2022-01-10,Male,Mr.,Shawn,Potter,michaelaguilar@yahoo.com,chelsea28@stone.org.au,668,Bates Ride,Access,St. Coryfort,8541,Australia,+61205113914
10,2020-05-16,Male,Mr.,Carlos,Park,keithhill@yahoo.com,hartmanmichael@klein-ruiz.edu.au,45,Norman Colonnade,Concourse,Robertview,9383,Australia,+61 8 1037 4829
11,2020-02-27,Male,Mr.,Nathan,Robertson,melissamyers@hotmail.com.au,ahardin@gamble.edu.au,4,Willis Corner,Brow,Leeland,0836,Australia,(02).0286.2817
12,2020-02-04,Female,Miss,Latoya,Lawrence,ogriffith@burton-chaney.info,williamryan@oliver.biz,705,Evans Round,Dell,Kingstad,1627,Australia,+61 404 548 866
13,2020-04-05,Female,Dr.,Stephanie,Douglas,christopher38@smith.net,mathewsjessica@wood-frederick.net,87,Mclaughlin Pathway,Square,Daltonland,6903,Australia,4036 1771
14,2021-05-15,Female,Mrs.,Patricia,Ellis,cassandrahoffman@yahoo.com,marissa51@burns.net,74,Trujillo Ronde,Loop,North Danafurt,2938,Australia,0729222350
15,2022-05-18,Female,Ms.,Kimberly,Cruz,wilsonsarah@hotmail.com,fitzgeraldrodney@meyer.net.au,8,Bush Trunkway,Dell,North Keith,2672,Australia,03.4301.9935
16,2021-11-07,Male,Mr.,John,Santana,kathleenlarsen@randall.net.au,warrenwood@scott.edu,3,Roberto Mews,Freeway,Nelsonland,2976,Australia,1915-8185
17,2021-01-01,Female,Miss,Sara,Flowers,kevin66@jordan.com,bbryant@henderson-roman.net,1,Barton Driveway,Gates,North Gerald,2216,Australia,7942.8833
18,2022-10-17,Female,Dr.,Mary,Johnson,jason69@hill-pennington.biz,richard55@burton.edu,85,Frank Reserve,Brow,Caseside,2657,Australia,03-4506-3808
19,2020-10-30,Male,Mr.,Dylan,Bradley,matthew40@franklin.net.au,johnsondebra@vargas.biz,9,Parker Mall,Front,Ricefort,7074,Australia,3511.2612
20,2021-10-29,Female,Ms.,Sandra,Hines,jmassey@martin-page.biz,rmorales@fields-simmons.org,646,Kelly Tarn,Centre,Alisonberg,4698,Australia,07 9533 7537
21,2021-10-10,Male,Dr.,Michael,Davis,jesse69@gmail.com,mcmillankristen@taylor.biz,083,Fleming Highway,Arcade,North Mackenzie,2973,Australia,+61716973965
22,2023-06-03,Female,Mrs.,Jacqueline,Woods,anthonygilmore@harrison.org.au,austin49@williams.net.au,63,James Street,Close,North Jennifer,8757,Australia,+61877311288
23,2021-01-13,Male,Mr.,Tony,Walker,william83@goodman-keller.com.au,wlogan@bryan.biz,79,Willie Estate,Point,Melissaside,2925,Australia,7741-3919
24,2022-11-07,Male,Mr.,Daniel,Reynolds,trevinoeric@johnson.com,cmiller@chavez-fitzpatrick.edu.au,7,Cook Common,Motorway,New Annville,0264,Australia,+61-483-059-619
25,2022-06-02,Male,Mr.,Patrick,Ramirez,pyoung@chavez.org.au,melissa71@baker-hall.edu.au,9,Steven Cruiseway,Route,East Robertshire,2665,Australia,9953-7520
